Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 02:00:00,447.5,64.04176293787722,403.73049302603664,269.54999999999995,51.46,0.097,0.068,0.0615,0.0265,0.0833,0.048,37.16,87.32000000000001,0.48,0.188481,0.022,0.05,0.0,0.027,0.017,0.0,0.352,0.0,0.105,0.353,0.0,0.105,0.177,0.098,0.046,0.044,0.065,0.0,0.038663340900098625,0.0314592,0.032665535906033535,0.030216128,0.20140217091371584,0.20734969,0.20240217091371585,0.20834969,0.1436839563740117,0.13216942,0.06566234317012822,0.05629695999999999,56.03788999421607
2021-01-01 03:00:00,549.4,57.447954072881416,523.2200983903501,271.57,43.34,0.1243,0.0888,0.08,0.0275,0.1013,0.0705,37.16,87.06,0.48,0.188481,0.022,0.05,0.0,0.027,0.017,0.0,0.352,0.0,0.105,0.353,0.0,0.105,0.177,0.098,0.046,0.044,0.065,0.0,0.03355533755928283,0.0314592,0.030928814770156163,0.030216128,0.20395699773838485,0.20734969,0.20495699773838486,0.20834969,0.13479152729205818,0.13216942,0.059021938827067674,0.05629695999999999,42.121924277784274
2021-01-01 04:00:00,581.3,53.96888407779569,583.4136065783462,273.59,35.23,0.1275,0.1043,0.0998,0.0285,0.1173,0.0855,37.16,88.36,0.48,0.188481,0.022,0.05,0.0,0.027,0.017,0.0,0.352,0.0,0.105,0.353,0.0,0.105,0.177,0.098,0.046,0.044,0.065,0.0,0.031325091255482745,0.0314592,0.030170531026864133,0.030216128,0.2052621905302067,0.20734969,0.2062621905302067,0.20834969,0.1309920432835034,0.13216942,0.056122618632127565,0.05629695999999999,25.936602376785686
2021-01-01 05:00:00,549.4,54.212866751467416,579.2670088235525,275.07,33.04,0.1325,0.111,0.1103,0.0268,0.125,0.0908,37.16,91.16,0.48,0.188481,0.022,0.05,0.0,0.027,0.017,0.0,0.352,0.0,0.105,0.353,0.0,0.105,0.177,0.098,0.046,0.044,0.065,0.0,0.031471659498602374,0.0314592,0.03022036422952481,0.030216128,0.20517180429017173,0.20734969,0.20617180429017173,0.20834969,0.1312397192586692,0.13216942,0.05631315734818308,0.05629695999999999,8.880493161618062
2021-01-01 06:00:00,458.2,58.13277617522755,511.11577641563224,276.56,30.86,0.1265,0.0995,0.095,0.0258,0.1168,0.082,37.16,95.24,0.48,0.188481,0.022,0.05,0.0,0.027,0.017,0.0,0.352,0.0,0.105,0.353,0.0,0.105,0.177,0.098,0.046,0.044,0.065,0.0,0.03403078915362153,0.0314592,0.03109046831223132,0.030216128,0.20369620651481385,0.20734969,0.20469620651481385,0.20834969,0.13560916102377857,0.13216942,0.05964002589970799,0.05629695999999999,7.0699301617106585
2021-01-02 02:00:00,436.6,64.03185704406839,403.80697098797475,273.46,55.64,0.097,0.0673,0.0605,0.0283,0.08,0.048,37.16,87.24,0.48,0.188481,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.03865474831595119,0.0314592,0.032995709393742426,0.030405312,0.2019718454914108,0.20797206799999998,0.2019718454914108,0.20797206799999998,0.14366882455402752,0.13216942,0.06598426777705557,0.056486143999999995,56.191288530126826
2021-01-02 03:00:00,548.2,57.40762379314254,523.8188245799258,275.66999999999996,50.17,0.1155,0.0888,0.0813,0.0283,0.1,0.0683,37.16,86.96000000000001,0.48,0.188481,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.03352771949186956,0.0314592,0.031149979017073042,0.030405312,0.20456253130702043,0.20797206799999998,0.20456253130702043,0.20797206799999998,0.13474410794107322,0.13216942,0.05921658972926783,0.056486143999999995,42.27907013022593
2021-01-02 04:00:00,581.8,53.89523128516831,584.5500383392961,277.88,44.71,0.1313,0.1028,0.098,0.0303,0.117,0.0858,37.16,88.26,0.48,0.188481,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.0312811303938806,0.0314592,0.030341206941797014,0.030405312,0.20589219675752368,0.20797206799999998,0.20589219675752368,0.20797206799999998,0.1309178179384785,0.13216942,0.05625109211992239,0.056486143999999995,26.08184888564415
2021-01-02 05:00:00,565.8,54.10948831024537,580.91246229995,278.89,42.32,0.135,0.1098,0.1108,0.027,0.1253,0.0933,37.16,91.04,0.48,0.188481,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.031409379574570705,0.0314592,0.030387376646845453,0.030405312,0.20581212545202512,0.20797206799999998,0.20581212545202512,0.20797206799999998,0.13113443840760342,0.13216942,0.05642038103843333,0.056486143999999995,8.994665756173447
2021-01-02 06:00:00,481.6,58.008891026221995,513.1999943567027,279.90999999999997,39.93,0.123,0.0963,0.0943,0.0273,0.1135,0.0833,37.16,95.12,0.48,0.188481,0.022,0.05,0.0,0.027,0.018,0.0,0.354,0.0,0.106,0.354,0.0,0.106,0.177,0.098,0.046,0.044,0.066,0.0,0.03394386817321789,0.0314592,0.03129979254235844,0.030405312,0.2043315049380593,0.20797206799999998,0.2043315049380593,0.20797206799999998,0.135459502630363,0.13216942,0.059765905988647616,0.056486143999999995,6.995866241759359
